Clubhouse Bar Hours	Slutt Putt	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM ']	The clubhouse is serving Arnold Palmers and John Dalys to keep you cool and your golf game on par. Swing on by!
Daily Spa Cleansings and Happy Hours!	Space Virgins	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 10 PM <--> Monday, August 26th, 2019, 6 PM – 10 PM <--> Tuesday, August 27th, 2019, 6 PM – 10 PM <--> Wednesday, August 28th, 2019, 6 PM – 10 PM <--> Thursday, August 29th, 2019, 6 PM – 10 PM <--> Friday, August 30th, 2019, 6 PM – 10 PM ']	jonbrostar@yahoo.com
Pink Gym	Comfort & Joy	Care/Support	['Sunday, August 25th, 2019, 6 PM – 9 PM <--> Monday, August 26th, 2019, 6 PM – 9 PM <--> Tuesday, August 27th, 2019, 6 PM – 9 PM <--> Wednesday, August 28th, 2019, 6 PM – 9 PM <--> Thursday, August 29th, 2019, 6 PM – 9 PM <--> Friday, August 30th, 2019, 6 PM – 9 PM <--> Saturday, August 31st, 2019, 6 PM – 9 PM <--> Sunday, September 1st, 2019, 6 PM – 9 PM ']	Workout in our Fabulous Pink Gym - Every year we build a fabulously pink full-service gym on the playa. Come work
Free Photography Zone	Free Photography Zone	Other	['Sunday, August 25th, 2019, 6 PM – 11 PM <--> Monday, August 26th, 2019, 6 PM – 11 PM <--> Tuesday, August 27th, 2019, 6 PM – 11 PM <--> Wednesday, August 28th, 2019, 6 PM – 11 PM <--> Thursday, August 29th, 2019, 6 PM – 11 PM <--> Friday, August 30th, 2019, 6 PM – 11 PM <--> Saturday, August 31st, 2019, 6 PM – 11 PM ']	http://johnbrennanphoto.com
Entheos Retreat	Entheos	Care/Support	['Sunday, August 25th, 2019, 6 PM – 10 PM <--> Monday, August 26th, 2019, 6 PM – 10 PM <--> Tuesday, August 27th, 2019, 6 PM – 10 PM <--> Wednesday, August 28th, 2019, 6 PM – 10 PM <--> Thursday, August 29th, 2019, 6 PM – 10 PM <--> Friday, August 30th, 2019, 6 PM – 10 PM <--> Saturday, August 31st, 2019, 6 PM – 10 PM ']	http://www.entheosrising.org
Patsy’s Neighborhood Kiki	Patsy's Hangout	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 11:45 PM ']	https://www.patsyshangout.org
Pimp Your Bike and Jam with Maestro Flamingo	Remote Control	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 8 PM <--> Monday, August 26th, 2019, 6 PM – 8 PM ']	buck@buckandmike.com
BM T-Shirt Prints	Burning Man T-Shirt Factory	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 6:15 PM ']	We supply the spray paint & BM stencils. You supply the clothing, gear, or body to create it yourself. Interactive, quick, easy, and FUN! Open 24/7.
What is the Feminine?	The Ovule	Other	['Sunday, August 25th, 2019, 6 PM – 6:15 PM <--> Monday, August 26th, 2019, 6 PM – 6:15 PM <--> Tuesday, August 27th, 2019, 6 PM – 6:15 PM <--> Wednesday, August 28th, 2019, 6 PM – 6:15 PM <--> Thursday, August 29th, 2019, 6 PM – 6:15 PM <--> Friday, August 30th, 2019, 6 PM – 6:15 PM <--> Saturday, August 31st, 2019, 6 PM – 6:15 PM <--> Sunday, September 1st, 2019, 6 PM – 6:15 PM ']	Drop off writings & 2d art for a book on what the feminine means to you. Will be added to book in art piece and later in print. All genders needed. The Ovule Installation is an exploration of the feminine self and the value found there. When we say feminine self we are speaking of a self that exists in every thing and every one of us, regardless of our gender. An Ovule is the part of the ovary of seed plants that contains the female germ cell. The intention of this piece is to ask where the feminine exists within, where and how can Mother Earth /Gaia, the spirit of living earth, be honored, valued, and nurtured.
Landing Ceremony	PlayAlchemist	Ritual/Ceremony	['Sunday, August 25th, 2019, 6 PM – 6:15 PM ']	A powerful group meditation to leave the outside world behind and arrive fully at BM. Together we set the intention for our upcoming week.
Elvis Espresso	Camp ZaZen	Food	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM ']	The Italians are back to help you start your day right! Open Daily 9-12am serving caffè corretto, grappa and our new specialty: Caffè Shakerato Alpino, a cold coffee shaken with ice and sugar w Baileys, come by and
Neighborhood Kick Off Block Party	Genital Portrait Studio	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	Our only Family Friendly event. Cold Draft Craft Beer served 21+ while we all participate in lighting our intersections to make it safe for all!
Welcome home happy hour	Shine Town	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 9 PM ']	Welcome Home!!!! Come by for ice cold craft beers and ciders on tap
Ali Bar-Bar	Ali Bar-Bar	Other	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM ']	https://www.alibarbar.org
Insults booth	Vagabonds & Tagalongs	Care/Support	['Sunday, August 25th, 2019, 6 PM – 11:45 PM <--> Monday, August 26th, 2019, 6 PM – 11:45 PM <--> Tuesday, August 27th, 2019, 6 PM – 11:45 PM <--> Wednesday, August 28th, 2019, 6 PM – 11:45 PM <--> Thursday, August 29th, 2019, 6 PM – 11:45 PM <--> Friday, August 30th, 2019, 6 PM – 11:45 PM <--> Saturday, August 31st, 2019, 6 PM – 11:45 PM <--> Sunday, September 1st, 2019, 6 PM – 11:45 PM ']	You will be humiliated by being yourself, camp hate got nothing on this booth, this is the real deal when it comes to insulting you for sucking so much by being alive, and wasting air. warning: We will make you cry. like a pathetic human that you are. We are not responsible for permanent damage to your ego.
24/7 Whiskey at Hardly's Saloon!	HARDLY	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 6 AM <--> Monday, August 26th, 2019, 6 PM – 6 AM <--> Tuesday, August 27th, 2019, 6 PM – 6 AM <--> Wednesday, August 28th, 2019, 6 PM – 6 AM <--> Thursday, August 29th, 2019, 6 PM – 6 AM <--> Friday, August 30th, 2019, 6 PM – 6 AM <--> Saturday, August 31st, 2019, 6 PM – 6 AM ']	Come get a taste of Hardly's world-famous playa-grade authentic 194 proof Nevada whiskey, any time throughout the event!
Ooooh Shiney Tour	Mobility Camp	Other	['Sunday, August 25th, 2019, 6 PM – 8 PM <--> Monday, August 26th, 2019, 6 PM – 8 PM <--> Tuesday, August 27th, 2019, 6 PM – 8 PM <--> Wednesday, August 28th, 2019, 6 PM – 8 PM <--> Thursday, August 29th, 2019, 6 PM – 8 PM <--> Friday, August 30th, 2019, 6 PM – 8 PM <--> Saturday, August 31st, 2019, 6 PM – 8 PM <--> Sunday, September 1st, 2019, 6 PM – 8 PM ']	https://mobilitycamp.org
Stargazer Sunday	Stellar Dusty Moon	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	Come, radically express yourself by decking out your sweet shades or goggles. Return to the playa with out of this world eyewear.
Stargazer Sunday	Stellar Dusty Moon	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	Come, radically express yourself by decking out your sweet shades or goggles. Return to the playa with out of this world eyewear.
Party Naked and Get Lei'd	Party Naked Tiki Bar	Adult-oriented	['Sunday, August 25th, 2019, 6 PM – 11:45 PM ']	https://www.facebook.com/sincityvillage/
Esctatic Dance - Burn open your Heart	Camp Contact	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	Open your heart as you open your burn. Let the music move you, and leave with your heart open to all the possibilities of the week ahead.
Babes in Gameland	Camp ZaZen	Game	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Come by Camp ZaZen and play any of our yard games, horseshoes, tether ball, bags, spike ball, darts, and more! Gaming open 24/7
The Wine Bar is Open!	cmframe@gmail.com	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 11:45 PM ']	http://www.vineswithoutborders.com/
White Trash Screen Printing	White Trash Superstars (WTS)	Class/Workshop	['Sunday, August 25th, 2019, 6 PM – 10 PM <--> Monday, August 26th, 2019, 6 PM – 10 PM <--> Tuesday, August 27th, 2019, 6 PM – 10 PM <--> Wednesday, August 28th, 2019, 6 PM – 10 PM <--> Thursday, August 29th, 2019, 6 PM – 10 PM <--> Friday, August 30th, 2019, 6 PM – 10 PM <--> Saturday, August 31st, 2019, 6 PM – 10 PM <--> Sunday, September 1st, 2019, 6 PM – 10 PM ']	https://www.facebook.com/White-Trash-Superstars-174384205941598/
WanderDust: The Experience	WanderDust	Kid-friendly	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM <--> Sunday, September 1st, 2019, 6 PM – 12 AM ']	Costume/Party Theme Sunday: Unicorn Monday: Manic Monday - run around like you haven't seen BRC & each other for a whole year! Tuesday: TUTU Wednesday: White Trash Wednesday Thursday:Decades Party!! Be the Bunny for the March &/or White. Egg hunt and ears for all! Friday: Party like its 1999 in day glow or black light reactive era theme, dress from your favorite era, be it 80's or Victorian Saturday: Unicorn, b/c one is just not enough or you missed the last Sunday: PJ Party Monday: Laundry Day
Half-Cocked Cocktail Opening	Horny Camp	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	https://www.hornycamp.com/
Rocket Ship Library	Cult of the Magic Lady	Kid-friendly	['Sunday, August 25th, 2019, 6 PM – 10 PM <--> Monday, August 26th, 2019, 6 PM – 10 PM <--> Tuesday, August 27th, 2019, 6 PM – 10 PM <--> Wednesday, August 28th, 2019, 6 PM – 10 PM <--> Thursday, August 29th, 2019, 6 PM – 10 PM <--> Friday, August 30th, 2019, 6 PM – 10 PM <--> Saturday, August 31st, 2019, 6 PM – 10 PM <--> Sunday, September 1st, 2019, 6 PM – 10 PM ']	phate075@gmail.com
Camp Hot Mayo Meet and Greet	Hot Mayo	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	Come meet everybody in our camp. We will have cold beer and Old Camp shots to share with everybody.
Ceremonial Puck Drop & Hockey Scrimmage	No ReGretzkys	Game	['Sunday, August 25th, 2019, 6 PM – 8 PM ']	https://www.facebook.com/NoRegretzkys/
Man-to-Man Play 24/7	Down Low Club	Adult-oriented	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM ']	https://www.facebook.com/groups/DownLowClub
Communist Party!	Society for Temporal Preservation	Gathering/Party	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM ']	Ain't no party like a communist party, 'cause with communist party PARTICIPATION IS MANDATORY. Relive the glory days of the Eastern Bloc with our time-traveling submarine crew. The economy may be lousy, but the drinks are worth standing in line for.
Inaugural Jorts Slinging / Set-Up Crew Party	Salute Your Jorts	Gathering/Party	['Sunday, August 25th, 2019, 6:30 PM – 8 PM ']	Our setup crew is here to dance with you, fit you with jorts, and get you some water to celebrate the first day on playa
BRC Art Tour	CatsFish	Gathering/Party	['Sunday, August 25th, 2019, 6:30 PM – 8:30 PM ']	Historic BRC art tour reveals unknown details behind curated pieces from the deep playa. Secrets revealed... what the artists don’t want you to know!
Welcome Home Party	Martini Village	Gathering/Party	['Sunday, August 25th, 2019, 6:45 PM – 7 PM ']	Welcome Home Party! Enjoy an ice cold martini and a welcome home with cheers and hugs (Sunday any time)
Annual New Years Gala	Hotel California	Gathering/Party	['Sunday, August 25th, 2019, 7 PM – 12 AM ']	The playa's largest hotel invites you to open your heart to the year ahead. Don your favorite outfit and start your transformation. #newyearnewyou
Welcome Home Sing-Along	Honest MiSteak	Gathering/Party	['Sunday, August 25th, 2019, 7 PM – 8 PM ']	We kick off the week with an event to welcome the dusty citizens of Black Rock City home again for another year. Beverages will be flowing and the playlist will include recognizable songs so that everyone can sing out loud and proud. Whether passersby have already been on playa building for days or are road-weary from the journey home, one and all are welcome to kick back, relax, and set the tone for a fantastic week.
Lucha Libre or Pantsless referee?	Nacho Campo	Adult-oriented	['Sunday, August 25th, 2019, 7 PM – 11 PM ']	This year, Metamorphoses brings big change to Nacho Campo in addition to our proud tradition of Luchador wrestling. Once again, Nacho Campo will welcome Playa guests to enjoy the thrilling, dramatic, art of Luchador wrestling. Those brave (and foolish) enough to suit up will be encouraged to take a turn in the ring and let their inner show person shine. Prior to their match, wrestlers will be given an opportunity to select their own Luchador mascara and choose their wrestler name, persona and finishing move (after being fitted by our Luchadors in one of our many pairs of multi-sized crutches, always a hilarious crowd pleaser.) Our camp will be host to a plethora of beautiful Latin American cultural displays, including a traditional ofrenda that will serve as the launch point for a procession to the temple. On procession day burners of all ages will be invited to paint their faces in the tradition of Muertos and join the parade. New in 2019, our cantina will host daily folk art creation, lead by our wrestlers. Additionally, our cantina will provide a shaded siesta area equipped with hammocks for drowsy participants and an evening fire. We are very excited to offer for the first time, our 24ft. Tower De Fanaticos, a place to climb for a better view, cheer, take photos and enjoy the festivities. Also contributing to the growth of participation, as in prior years, the camp has planned several semi spontaneous evening events including, Kissadillas and Hots and Shots plus space for pop-ups to gift. Our builder will be hosting a series of lectures on designing and building Casitas (tiny houses), as well as sharing his architectural plans for one of his own design as a gift to participants who are interested. Our artist in residence will be displaying several large panels of their work that will be live painted at an art and fire festival prior to the burn on the perimeter of the camp.
Cocktail Hour	FANDANGO!	Gathering/Party	['Sunday, August 25th, 2019, 7 PM – 8 PM <--> Monday, August 26th, 2019, 7 PM – 8 PM <--> Tuesday, August 27th, 2019, 7 PM – 8 PM <--> Wednesday, August 28th, 2019, 7 PM – 8 PM <--> Thursday, August 29th, 2019, 7 PM – 8 PM <--> Friday, August 30th, 2019, 7 PM – 8 PM <--> Saturday, August 31st, 2019, 7 PM – 8 PM ']	21+ Daily around Sunset show up on your way out or your way back in and grab a refreshing cocktail made while you wait.
Sing with a LIVE BAND at Kamp Karaoke!	Kamp Karaoke	Gathering/Party	['Sunday, August 25th, 2019, 7 PM – 10:30 PM <--> Monday, August 26th, 2019, 7 PM – 10:30 PM <--> Tuesday, August 27th, 2019, 7 PM – 10:30 PM <--> Thursday, August 29th, 2019, 7 PM – 10:30 PM <--> Friday, August 30th, 2019, 7 PM – 10:30 PM ']	mollyspup@aol.com
Mom and Dad's Musubi Feed	Camp Mom and Dad	Food	['Sunday, August 25th, 2019, 7 PM – 8 PM ']	Come stuff your face with a little piece of Hawaiian heaven. Spam, sushi rice, and nori make a salty, sweet, umami, starchy party in your mouth.
From Dusk to Dust	Naarsfortown / Mystikal Misfits	Gathering/Party	['Sunday, August 25th, 2019, 7 PM – 10 PM ']	https://www.facebook.com/TheMystikalMisfits/?__tn__=%2Cd%2CP-R&eid=ARB6k4FCEmRJ0oTZHpPB0D0V7BvF_N-j_PYBhYEsqOoKsDT2qCkiTZeDNpl2QfElvpkZmF6UY0VolzVl
Tea & Intention Setting	Land of Monkey	Gathering/Party	['Sunday, August 25th, 2019, 7 PM – 9 PM ']	https://www.facebook.com/events/388480751952182/
Get that thick, juicy Dirty Secret off your Chest!	Tiny Dirty Secret Art Piece	Other	['Sunday, August 25th, 2019, 7 PM – 7 AM <--> Monday, August 26th, 2019, 7 PM – 7 AM <--> Tuesday, August 27th, 2019, 7 PM – 7 AM <--> Wednesday, August 28th, 2019, 7 PM – 7 AM <--> Thursday, August 29th, 2019, 7 PM – 7 AM <--> Friday, August 30th, 2019, 7 PM – 7 AM ']	Tiny Dirty Secret is the third installment of a trifecta of art pieces. Little Dirty Secret in 2017 and Big Dirty Secret in 2018. Everyone has a secret, some dirty, some sad, some funny, and some bad. Secrets are held within are never usually shared with a single soul. Tiny Dirty Secret is a place to quietly and anonymously let go of your secrets 24hrs a day. Those can range from confessions, fears, sexual fantasies, betrayals, crimes, desires, humiliations, abuse, or anything you need to let go of. All cards are kept locked and safe from others so there is no fear of retaliation or negative reactions. We uphold the security and trust and guarantee your secret is Safe at Tiny Dirty Secret. Stay Anonymous, no names or personal info. If you have an emergency or need help, find the nearest ranger. If you would like to talk to someone and make a new friend, we'd be delighted. If so, leave any contact info that you feel comfortable with. Have Fun, Be Safe!
