#Octothorpe	5:45 and I	Come #hashtag with us
#happylovejoy	9:00 and D	
Lounge Syndrome	3:30 and E	Nothing can be something worth doing. Our camp is a day-time refuge for anyone with a serious case of lounge syndrome. Stop by for a tiny drink in our tiny dome, a larger drink in our larger dome, or simply stay for the hammock therapy with our carefully curated grooves.
Love Cow	4:30 and B	Love Cow formed to nourish the community through Healing Arts and Music. Find us on the Playa for daily yoga, sound healing, music sessions & more!
Love Drippins	4:00 and B	Black Rock City's mom and pop fuckshop!
Love Me Gender	7:45 and E	LMG is an all inclusive gender non-binary camp offering daily Italian Espresso (made by real Italians!), Gender Fluid rehydration drinks, and a welcoming atmosphere for all visitors to relax and interact in our shaded Veranda with new Hammock Pavilion. This year throughout the week live piano music will be provided by our resident pianist, so stop by and check our message board for performance time details!
Loveland	5:00 and A
Lovin Oven	6:30 and B	The Lovin Oven: Home to hot, fresh baked focaccia bread, delicious spreads and toppings and fresh mint tea. Come hang under the ample shade on our comfy day beds and suspended lounge every day from Tuesday to Sunday! Sweet beats and all the good vibes from 10ish til 2. Look out for our random warm cookie serves at night!
Ludus Symposium	4:30 and Portal	Ludus (playful love) Symposium (Meeting for music, drinking and intellectual discussion) is a place to hang out on our friendly deck/bar above the playa and watch cheezy cult movies.
Lumi-Dance	4:00 and A	Camp Lumi-Dance offers a fun interactive space for flow art workshops, yoga and enlightening discussions, as well as a 24’ stage for performers to show case their talents. 
Lunar Disco	9:15 and G	MV Support Camp for Cricket and On TV art cars
Lunarcrats	10:00 and C	Lunarcrats welcomes all to dance and play under our 30ft space invader. Throughout the week, we will have workshops on flowing, branding and production lessons. Highlights are our full spectrum lasers, video projection mapping, sound system and light production school. Stop by and dance, sing karaoke, get a tattoo, grab a drink at our bar, run some video and lights or see a magic show. Look for the giant invader we won’t be hard to find!
Luxurious Vagrants	7:15 and B	Lux Vag is where dusty bodies come to get fancy!
MINSTREL CrAMP!	6:30 and B	A largely acoustic music themed camp and performance space with an acoustic piano, solar powered sound system with mics, amps, monitors, a full drum kit, and a variety of available musical instruments. We do daily workshops and performances Mon – Sat
MOS EISLEY VILLAGE	7:45 and E	Hive of Scum and Villainy.....and a cantina.
MVC	8:45 and H	Shit breaks on the playa. Electronic shit super breaks. Did you bring a full repair shop? No? Good news - we did. Come to camp MVC and our Blinky Things Hospital to leverage the tools, voltmeters, and engineering talent you need to troubleshoot your ride, exhibit or playa gifts and, hopefully, get it fully functional again. MVC is staffed by the creators of the eight-foot, LED illuminated, motorized, sound-infused Burner Boards you may have seen riding across the playa…. You might even get a ride! But no, we’re not going to build you or sell you a board.
MacGyvers' Union	7:10 and B 
Mad Tea(se) Party	6:45 and A
Magic Potion	6:45 and G
Major Tom's Flying Circus	5:00 and H	A camp of fun and friendly Burners (at least we think so) whose passion is gifting flights over the Playa! Join us for happy hours on Monday and Thursday. And come see us at the airport to experience Black Rock City from the air in one of our ultralight or gyro aircraft. 
Mansonian Institute of Urban Studies	6:30 and D	Mansonian Institute 4 Urban Study celebrates & teaches Burningman history through large graphic banners & take-offs of each year’s theme w info & stories of Burningman going back to first event. Stop & ask questions about Burningman history, get swag.
Math Camp @ Group W	π and E 	A Safe place to Drink and DErive! We are a small social camp offering a place for daily lectures and long-winded impromptu chats on all things Math related. We are proud Purveyors of Crunchy Snacks, Servers of Pie at 3:14, plus we have The Best Friday Morning Sunrise Cocktail Party on the playa (not to mention home of the fabulous Electric Cupcakes).
Meh De La Mer	5:15 and D	Camp Meh De La Mer is a Norfolk, VA based camp. We're a meh-maid themed group of wannabe sirens, a gaggle of makers and doers that strives to be great but the general consensus is that we're just ok.Come hang out at our infinity mirror-topped bar and have a mehmosa or a bloody mehry. They're only mediocre but at least you can hang out and have a so-so conversation.This year we're also bringing the ME(H)GA CAKE, a 40' tall, four-tiered birthday cake including fire candles. Come by and celebrate the existence of everyone you love! We'll be throwing birthday parties all weekend. HAPPY BIRTHDAY TO YOU!!
Mellow Mountain	9:15 and E
Melón Rouge	8:30 and E	A fantastically fruit-loving, ridiculously organized, global patch of melons with a flair for the melondramatic, who can can-can their way into the heart of even the crustiest Burner!
Mementomorium 	4:15 and F	Art Support Camp for Mementomorium Project
Metric Duck Ton (MDT)	2:45 and C	Brewing coffee and ducking responsibility. Cold brew in the mornings.
Midnight Poutine	6:15 and E	Bonsoir nos amis! Come and sample Québec’s favourite late night snack at Midnight Poutine. Learn the awesome power of french fries, cheese curds and hot gravy. Embrace the joie de vivre of our bilingual Canadian camp. Lâche pas la patate!
Mighty Misfits	4:45 and E	Margaritas & hot dogs, pancake breakfast, yoga, deep house evening party
Miki Beach	10:00 and K
Mimosa Sunrise	8:15 and G	Come enjoy the rise of the sun over the playa every morning 5am-10am with mimosas, great tunes and awesome vibes
MindShark	3:30 and D	Stay out of MindShark
Mirage Garage	7:30 and B	A bunch of New Yorkers!
Miso! (formerly Miso Horny)	8:30 and A	Miso! serves miso soup and sake while cultivating chill, fun and safe spaces for discussions around consent and play.
Mission Country Club	8:00 and H	17 years strong... MCC brings a taste of the old SF Mission to the Playa. Flanagan's Bar open every day.    
Mission District	4:30 and J	Bring San Francisco Mission District to the Playa! Look for your beloved Sutro tower glowing in the night sky!
Mohammeds Mini Martini and Erotica	9:00 and Portal	We serve the coldest martinis and the hottest erotica (written by you!) in a bedouin tent facing the 9 o'clock portal. Come by after lunch and chill with a cold on while writing a hot one(or not). Look for the giant martini and park you camel outside
Molotov Cocktail	3:00 and G	Offering welcome respite for the dusty and thirsty. In our fully shaded chill space we serve home brewed beer, mead and cold brew as well as wine and spirits. Games available including cribbage and box hockey.
Monkey Business	4:00 and G	A place for Monkeys to conduct their business via Bananaphone and enjoy soft rock.
Monkey Pirate Pirate Monkeys	4:15 and F
Monks of Funk	4:15 and H	Healing; Prayer; Celestial Confabulation; Terrestrial Divinity
Moondrive	8:15 and H	We are a group of friends that enjoy lifting people to the moon. Come join us and climb our scaffolding to get a lay of the land!
More Carrot (Black Rock Farmers Market)	5:30 and C	Part of Peace Camp Kitchen and Pantry 
Mount NeveRest	2:00 and D	Our mission is to create a sound camp that showcases the most innovative and immersive ideas in audio performance, interactive art installation, stage design, and community planning within a unique space that offers stimulation to all five senses. You may even discover a sixth.
Mudskipper Urban Decay Spaceport Cafe	7:30 and B	Famous playa-wide for our Fruit Smoothie Cafe, our epic “Crack is Whack” Whitney Houston tribute party on SATURDAY 1-3pm, and being an official stop for the BRC Naked Bar Crawl
Music Vizards	2:15 and C	Trippy and spacey, laser eyed and shiny objects, landscape, aliens and faces are beating in all different frequencies of the current music being played, projected onto you. Real-time rendering and FFT make it possible. Buckle up for a deep dive into the vast reaches of music!
My Dad's House	8:30 and C	My Dad's House is a cozy nook with for slippery shenanigans and sultry snuggles. C'mon in, ditch the shit, and stay a while.
My Monkey My Circus 	3:15 and E	Fire Spinners, Flow Artist, Offering classes in various Props and Flow techniques 
My Reply Is Yes	8:15 and H	Humans have always gravitated towards systems that can answer our questions about what the future will bring and help us find clarity. At My Reply Is Yes, burners can receive advice, guidance, and predictions for the future from the games of our past. With the help of caring and empathetic human burners, we can ask questions to help them understand where they are at this point in their transformative trajectory. And while the detailed insights provided by the camp's caring and empathetic human burners will be based on intuition and may be total bullshit and hyper-inaccurate, they will try to be funny and helpful – sometimes, burners just want to be told what to do!
Mycodelic Forest	3:45 and B
Mystikal Misfits	4:30 and D	The Mystikal Misfits present "Infernal Paradise": an interactive playground of Heaven and Hell that will have the creatures on your shoulders question their allegiances.Leave your worldly worries behind and taste the devilishly divine. Drinks, Dancing, and DistractionsEvery afternoon and most nights we throw the best party you've ever stumbled across. We're the people your parents warned you about. Come prove that you think for yourself. 
Mystopia	7:00 and E
MythMaker Camp	5:30 and C	Black Rock City, NV
NECTAR VILLAGE	8:00 and E
Nacho Campo	3:00 Portal	Celebrate in luchador splendor!! Culture, crafts, art, music, Lucha Libre Wrestling and FIESTA. "No Drama Just Trauma!!"
Nailed it!	4:45 and J
Namaste & Chill	6:15 and D	We are a compassionate community offering heart expanding workshops and events to create deeper connections between ourselves and the world. Our sacred space combines beauty with peace, and invites gentle relaxation. We are also the creators of the art installation Varanasi Sage.
Neon Vice	9:45 and I	Home base for the Neon Vice art car
Never Never Camp	4:30 and K	The place between sleep and awake. Home of the Second Bar to the Right and Sunrise/Sunset Wedding Chapel.
New York Dangerous	3:30 and C	We are a merry band of adventurers from New York City and around the world. On-Playa, we gift whimsical "what your mom warned you about" events to fellow Burners including: Strangers with Candy, Running with Scissors Relay Race, Put-Your-Eye-Out Shooting Gallery, Playing with Fire, Talking to Strangers, and more.
Nightcrawlers	6:00 and E	Nightcrawlers is an immersive theme camp that strives to bring together and build community for the nerds, geeks, cosplayers, gamers, dungeon masters, adventurers, and heroes of the Playa. It serves as the Guild Hall for PlayaRPG, where visitors are transported to another world, full of danger and adventure and new experiences, once they enter the threshold of our camp. 
Nipple Pie	4:30 and I	Once you know where our afternoon oasis is, you’ll be stopping by for a treat, a paint touch up, a cuddle, a puddle or more every day… this is Nipple Pie!We have a party or Tuesday and Friday from 2-10pmChill afternoons hangouts on Monday and Thursday from 4-7pmCome hang at out tiki bar for a refreshing drink and listen to music!
No Drama Camp and Bar	6:30 and E	We run the No Drama Bar, which hosts amazing events, happy hours, food give-a-ways. Bar is open 4pm to Midnight daily from Mon-Fri
No Name Yetu	6:45 and E
No ReGretzkys	8:15 and E	Come “check” us out!! No ReGretzkys is a Canadian-American camp at 815 & E hosting hockey themed shenanigans! Come play with our balls and sticks!!! Look for the 60' hockey rink
Nom De Plume 	8:15 and D	We make yerba mate and have a tea lounge to drink tea in and lounge. We also play classic dub music. 
Northwest Mist	4:00 and 2400	The premier misting tent at Burning Man
Nose Fish	6:30 and A	Morning coffee/Afternoon bike and electronic repairs/Evening interactive video
NuTz Camp	10:00 and I
Nuclear Dandelion	7:15 and G	Playa Oasis Spa
OHM (One Hot Mess)	4:15 and J	Mutant Vehicle support Camp for Steely T
OKNOTOK	3:00 and A
Octopus Garden	8:30 and E	Come by the Octopus Garden to enjoy some smooth grooves, salty treats, and Pussy Punch in our immersive blacklight garden lounge…
Official Business	8:15 and G
Ofosho	4:45 and B 	Ramen 🍜
Oh No You Didn't!	8:15 and B	Be our guest and get it off your chest at our playa confessional lounge. Featuring libelous libations and scornful judgment. Help keep your shame in perspective as you commiserate with our panel of experts.
Oh Snap! Attachment Therapy Camp	6:15 and D	Oh Snap!: attach or detach yourself from your worldly objects - as in, literally attach yourself through snaps, straps and other materials.
Olympus	8:45 and 2400	Camp Olympus is a Bay Area based Burning Man camp dedicated to self-expression, incivility, and the celebration of every individual. At Olympus, all burners assume, embody, themselves as their personal god or goddess.
One Tribe	2:15 and I	We R 1 TRIBE!Our foundation is a shared vision of inclusion and unconditional acceptance. you are invited to join us for tea, music, mini donuts and connection as we start our day rising with the sun. Come dance the day away at our daytime party around our 40ft Eiffel tower for a spiked lemonade slurpee, frozen grapes and personal misters. We have 2 sacred tipi spaces and a 50ft cuddle puddle dome filled with teddy bears and hammocks you are invited to experience 24/7.
Oontz Pouch	6:45 and H
Opulent Chill	2:00 and D	The long running fire and big beats offering that is Opulent Temple does it’s magic flame throwing dance floor only on even years to keep things sustainable. Some members still going to BM have dreamed up Opulent Chill as a place to go sit down or layback and enjoy a sanctuary of chill vibes, dance performance, music and gathering. By day we also feature yoga classes, meditation, workshops and other vibe aligned social opportunities.
Orphan / Endorphin	7:00 and F	We BUILD better BurnersOur camps create the interactivity that is critical to the Burning Man experience!• Orphanage Bar & Brewery, voted one of the top 25 bars in BRC• TRUMP ASSault, giant dildos, baseball bats and the DONALD• Lil ROCKET Man, Kim Jong vs Trump rocket fighting • Daddy WARBUCKS Cigar Lounge• Capt. RON's Fishing Shack & Hoist, fish for hippies with Hi Tech baits• Swinging DICKS bowling pit• Robin's NEST hammock oasis 
Orphan Asylum	7:45 and G	A collection of Burners orphaned from all over the playa gathered together to form a new camp focused on upholding and teaching the 10 principles.We have loads of friendly faces, interactive events, games, workshops, and a big Green T. Our specialty is helping both veteran Burners and Birgins find a home away from home.
P3 Oasis 	8:00 and B	A highly interactive bar camp with the best 360 viewing deck on the playa! Roll the dice bitchez!
PG Squirt House	2:15 and C	It's golden hour on the playa. You are excited for another night’s adventure but wonder, “just what do I do between then and now?” Answer: come lounge on the coziest of couches, have a drink with a squirt of b-vitamin energy or some electrolytes and relax amongst your new-found friends at PG SQUIRT HOUSE. Good vibes, good music, and adult beverages featuring squirts of electrolytes or caffeine with names like “black water magic” and “unicorn piss” await you. This year PG Squirt House also feature a lecture series and poster session from our resident neuroscientists. Want to know how psychedelics affect your brain, what happens to your brain as you age? Relax with a sangria and heckle our over-eager PhDs. Always friendly and a little snarky, PG Squirt House is your Pre-Game playa oasis.
PLAYA 54	8:30 and D	PLAYA 54 DJ's spin the best of the 80s, Disco, Funk, Classic Rock, Motown, House and so much more.
PLAYGROUND	2:00 and C	As our ever changing vision of life takes form as an oasis in the desert; we welcome you to our PLAYGROUND!Is it a mirage or is it an oasis? The only way to know is to join us on a journey through the night.As the sun goes down and the night comes out, please join us for libations and good vibes.When the creatures of the night have arose and the music starts to call you, join our family for amazing techno beats.We are looking forward to playing with you. WELCOME HOME!
POLYPARADISE	8:15 and E	Home of the Human Carcass Wash and Poly High Tea
Pandaland!	9:15 and A	Come one, come all to Pandaland!: An Interactive, panda-themed carnival with healing, games, activities & events.
Pandora's Lounge and Fix-It Shop	4:30 and Rod's Road	Bike repair shop
Paper Cranes	8:45 and A
Paradise Motel	8:00 and D	Paradise Motel is a Burning Man theme camp established in 2008 (American Dream) designed to resemble the most garish of '60s roadside motels and dedicated to sharing the spirit and ethos of the noble flamingo. We're a flamboyance of fun-loving goofballs from all over the country (and all across the gender and sexuality spectra) who invite weary travelers to stop in for a snow cone and enjoy featured music and activities every day while lounging in the shade by our "pool".
Paralunatics	7:45 and E	Art support camp for Paraluna
Parea	9:15 and F	Opening an hour before the TV programming, the bar will serve simple but thematic cocktails. The Trash Fence TV will run a one-hour show, different every day. After the show, the bar will continue service for approximately one hour until the crowd peters out. 
Partner Dance Adventures	6:00 and A	Discover what it’s like to hold a dance partner in your arms and move to the music. Tango. Blues Dance. Fusion. Experience the magic of creating dance together with a partner.
Parts Per Million	9:45 and D	Parts Per Million is the camp for love, earth, the largest love letter movement ever conceived. The purpose: to inspire a clean climate future by spreading simple commitments to our planet.
Pele's Fire	9:30 and A	Hawaii Fire Artist Conclave offering daily firejams, workshops, music, drinks, and a slide onto the dance floor
Pennies Elongator	6:30 and G	Pennies Elongator – visit us to make an unforgettable gift for yourself and loved ones. Pick a penny – make jewelry. Hide from the sun or get a tattoo.
Pepperland	6:00 and I
Perihelion	7:15 and E	At Perihelion, we soar as close to the sun as possible. Welcome a brilliant morning at our Planet Brunch (Mon-Fri, 11am-1pm) or soak in an incandescent sunset with stellar frozen cocktails at our Star Bar!
Phasmantis	8:45 and F	Who knows what a "Phasmantis" is? We sure as hell don't. But we do know that we'll be dancing, serving snow cones, poptarts, and coconut water espresso, and playing music in our shady dome. Stop on by midday if you need some refreshments out of the heat.
Phrenopractorium	8:30 and 2400	Perfect the art of COSMIC HEAD MASSAGE! Tired and in need of restoration? Suffering and in need of relief? Crazy and in need of less crazy? Through a complex mix of phrenology, massage, hucksterism, and bald faced lies, we endeavor leave the citizens of BRC better than we found them.
Picklebackers	2:45 and G	We are The Picklebackers, your one-stop shop for all things pickle. Be sure to attend our notorious Get Pickled with the Picklebackers Party Monday, Tuesday and Thursday! There will be plenty of whisky and pickle brine and if you don’t feel like getting off your bike just pull up to our Pickle Bell Drive Through window (also open for limited hours on Wednesday and Friday)
Pig Nest	8:15 and H	Come chill anytime in our shady hammock nest. Find us (if you're lucky) for a Roast Pig Feast Monday night.
Pineapple Motel	4:30 and G
Pinecone Parlour	7:00 and H	We are a forest Oasis in the desert.. Follow the green Wonderwall to join us in the secret happenings of our Fuzzy Forest. During the week dusty travellers can rest in our wilderNEST under Willow the Wandering Willow Tree and get refreshed by the scent of the forest. Avoid the forest fyre and join us at the Pinecone Parlour where forest creatures will serve up the finest forest affair during Forest Funk at the Groovy Grove Oasis Wednesday evening.
Pinhole Project	3:15 and A	Pinhole Project makes (takes and develops) large scale pinhole photos of the people, art and events at Burning Man, while teaching others to explore their creativity through this hundred year old photography technique.
Pink Fuzzy Monkey	6:45 and C	Pink Fuzzy Monkey play around, Monkey Juice, and Music! Black light twister, Homo Hoe Down, Light Saber Battle
Pink Heart	8:30 and 2400	Pink Heart is a lighthouse for body, soul and spirit. 
Pink Lightning	6:45 and C	Pink Lightning is the home of running on the playa: the Burning Man 50K Ultramarathon (10th annual), 5K, Beer Mile, Naked Mile, Costume Relay Race, daily Moop Bingo Runs, and lots of other things: like gentle yoga, beer yoga, braid/beard spa, bobbing for raw potatoes in grey water, and MORE. We love the color pink, running, and having fun!
Pink Mammoth	8:45 and K
Plaisance	5:30 and E	A fine Fake French camp filled with fine Fake French people! Look for our flying flamingo flag!
Planet Earth	7:45 and 2400	Planet Earth is Black Rock City’s favorite indoor 80s nightclub. With two dance floors with four different themes and sets of DJs each night. Lights and music go all night as you dance to Music With Words. 
Planned Playahood	7:30 and D	Planned Playahood is here to unfuck your burn! Please come find us for ice cream social Tuesday, bike repair, bad advice, playa names, intimacy games, random live music, our killer bar, the rebirth experience, foot clinic, playa weddings, condoms, the couch swing, pregnancy tests, and a costume exchange rack, plus so much more.
Plastik Paddyz	4:45 and K	Irish bar, irish drinks, Irish music.
PlayAlchemist	10:00 and G	The Great Pyramid: Transform Yourself )'( Transform the World
PlayCreate	4:00 and A	PlayCreate – We have toys!
Playa Bears	4:15 and D	karaoke events, a waffle buffet, champagne bongs
Playa Bike Repair	9:00 and B
Playa Glass	7:45 and B	Helping melt the dust into black glass jewelry
Playa Jazz Cafe	5:45 and C	No longer just a jazz café, this joint is a straight up jazz club in Black Rock City! Come by for nightly live jazz jam sessions. Jazz musicians are encouraged to bring their instruments and sit in. Check out our jazz history and theory workshops in the afternoon. We'll also have guest artists perform before the jams on some nights. 
Playa Penthouse	7:30 and Portal	The Playa Penthouse is, at its most basic, an elevated viewing platform to take in the panorama of the Playa. All people are welcome come up and look out over the view, or sit and relax at all hours, enjoy the sunrise or sunset, and we always seem to have impromptu discussions about life and love, relationships and personal challenges. We have a large number of families who come up to enjoy our view. We try and organize gatherings geared to a specific subject, such as orienting newbies into the 10 Principles, or discussions on Sunday morning as to what to expect for the Temple Burn, particularly for those who have a vested emotional interest or investment in it. Most of the time we just enjoy meeting whoever drops in. Each year the annual theme is the subject of the decoration and design for the tower. We try and have interactive elements, such as last year's robot arms, that can be operated from the deck. We have a bar, with coffee in the mornings and cocktails in the evenings, for as long as they last, but we aren't truly a "bar". We have quiet music, but we're not a sound camp. We celebrate the feminine, the courage to try new things, provide support for those in transition, and promote honest communication between strangers and lovers alike
Playa Pete's Plaza	8:30 and G	The Monaco art car will cruise the playa daily. In addition, The Kaleidoscope is a 6 stories tall climbable tower open to public during day time. 
Playfully Yours	8:00 and E	A playful dungeon and bar
Plays Well With Others	5:15 and E	Lavender Hand Wash
PlovKraft	6:15 and G	We are gonna make our plov this burn from Monday to Saturday!
Plunderground	4:30 Portal	Museum, Electric Sandbox, Tower, Bar & FIRE! FIRE! FIRE!
Polar Bar	6:30 and B	Welcome to the Great White North! Pass through the Polar Vortex into our giant, icy, inflatable igloo for the chilliest day parties on the playa! Experience the 24hr sun with our Aurora Borealis inspired light show that dances across our pillowy igloo. The chilliest cocktails and hottest beats await you! It's true, all Canadians DO live in igloos.
Polaris	9:45 and J	Home of the art car Polaris!
Pollination	3:00 G and 12:15	Full Service Instant Weddings. Make a lifetime commitment on a whim.
Pongo Lounge	8:45 and D	Pongo Lounge brings a shaded lounge that is open daily for burners to hang out and relax or play with our interactive art pieces (such as our famous human gyroscope) as well as dance parties Tuesday & Thursday accompanied by delicious drinks from our bar
PopoVille	4:30 and G	PopoVille is in it's 7th iteration as a bar, tattoo parlor and graffiti zone.
Porta Party	6:00 and G
Practice Camp	2:45 and G	Alley Cat Mutant Vehicle Camp from Kauai, Hawaii
Preservation Society	7:00 and D
Pretentious Fox	6:45 and C	Our 10th year on the playa! We have a bunch of events and also a dive bar that you can draw/write on, a giant swingset, fun conversations and lots of spontaneous games. Come by for one of our events or just to hang out whenever.
Pretty Pickle Camp	8:45 and I	Pretty Pickle Camp is a relaxed and open outpost on the road to nowhere. We have daily afternoon cold pickle service for the community Monday through Friday. We invite passersby to step under our shade and enjoy a refreshing pickle. Take your photo with our giant face-in-a-hole pickle. Ride our giant pickle swing.
Priscilla Queen of the Doof	7:15 and B	Our trashy drag queens will spin you off the street and straight into our loving, weird and fabulous theme camp, Priscilla, Queen of the Doof!. Here you’ll find yourself participating in our LipSync Battle, The Doof party, and our famously infamous DILDO OLYMPICS!
Prismaticamp	Black Rock City, NV	A community of LED light artists. Join us each night at dusk for prismatic reception, the interactive LED Pleasure Dome, our other in-camp LED interactive art installations, our LED art gallery, and our nightly community LED procession to the night Playa. Also see the schedule for daytime interactive activities including LED fabrication/programming classes, Yoga classes, and Zen Bell ritual.
Prototopia 	6:00 and D
Pussy Avalanche	4:15 and J	You like cats? An awkward nerd or introvert looking for an excuse to play NAKED VOLLEYBALL with people you don't know. We're your place. We have games early in the week - and chill/spa areas for when everyone is tired in the late week.
Que Viva!	6:00 and D	Que Viva is a Burning Man camp of artists and activists of color, and allies celebrating racial justice, freedom, and enlightenment through the power of interactive art and joyful action. We are dedicated to social justice and radical inclusion, bringing issues like migrant rights and racial equity to the playa in a celebratory, magical, Burning Man way.
Queen Dick 	7:45 and E	We are BACK bitches! The Queen's had year off and is now raring to give the residents of Black Rock City what they want. A boozer they can call home! DELICIOUS bevs, service with a genuine smile, the best dam drag on the planet, a sofa to catch 40 winks on, a song around the piano, impromptu parties, DJs playing requests and a crowd of humans so friendly we will weep dusty tears of joy. 
ROGUE NATION VILLAGE	6:15 and G	Rogue Nation Village is an international home to a group of camps originating from the Pacific Northwest: SEAweed, KonaZona, Krepe Burners and Catharsis. Seattle's diverse village provides a big interactive community shade space known as "Comfort" to host various massage workshops, seminars and musical performances, with an open-air dance and interactive space called "Dust to Dust", French Crêpes Flambées and wine tastings, Gin Tonic themed parties, a Tutu Tutorial, a piano lounge, Bollywood dance lessons, a painting class, and daily hot coffee.
RaFreaki	10:00 and J
Radio Electra	6:00 and D	Tune in 89.9 FM during the Burning Man festival for the most unique broadcasting experience on the Playa, maybe the entire Earth! We also stream audio live onto the Internet during the event.
Rainbow Oasis	9:15 and A	A calming, relaxing, refreshing Oasis, where Burners of every sexual proclivity can enjoy a cold drink, a snack, and a deep conversation stoked by intrusive (yet illuminating!) personal question cards. Come every afternoon for our daily events, come every morning for stretching and iced coffee!
Raised by Wolves	9:30 and D	Diverse daily workshops, everything from massage to acupuncture to live music and cold brew coffee. Plus themed dance parties paired with cocktails that exclusively feature non-house music 
Rascal	7:45 and A	Camp Rascal is a band of merry weirdos from around the globe who regularly goad friends (new and old) with the phrase, "you won't!" Come join us in our fox den where we'll push your boundaries (consensually, of course) and leave you begging for more.
Real Dilla	7:00 and B	Cool group is long time burners ready to make quesadillas and Micheladas for you!
Reckless Erection / Morphoscopia 	7:15 and F	Art support camp for Morphoscope & daily readings of our harrowing tale, 'Goodnight Man'. 
Red Bar	8:00 and I	Piano Bar
Red Lightning :: Blue Thunder	5:00 and 2400	Red Lightning hosts events, programming and ceremonies that connect the Burning Man community to ancestral knowledge, Earth wisdom, and regenerative design (permaculture, sacred economy and sustainable ecosystems). Our camp has historically been held as sacred container for inspired architecture, regenerative culture, avant-garde performances, conscious relationships and, most importantly, healthy, thriving community building. We are a family of dreamers and visioneers who see the potentiality of a humanity that is in balance and resonance with Earth, while seeing one another in authenticity, acceptance, transparency and love.
Red Nose District	4:15 & Esplanade 	Home to the Black Rock City circus collective and Burning Man camp of the same name, comprised of the EnHeightened Beings of Leisure, The Klown Korps, the Pedalbump Big Top, and all of their various and sundry creatures, subsidiaries and attractions. 
Red Rooster Ranch	2:50 and G	Home of the Red Rooster Ranch art car. Gathering spot for friends from all over the place!
Rejuvenation	4:00 and F	Coconut water and supplements
Religious As Fuck	3:45 and C	Where Jesus and the 10 Principles meet. Religious AF offers, open, non-judgmental, non-commodified Christian spiritual hospitality, prayer and conversation to all burners. Join us for prayer or to talk; we're here to honor everyone's full dignity and understand that frequently Christians have not done that well.
Remote Control	7:45 and I	Remote Control is all about helping keep BRC pristine while maximizing fun. The camp runs completely on solar power. We distribute mini-MOOP bags, handmade from fabric scraps and recycled clothing. Turn in your filled bag and pick a fabulous prize from our bins. Our space is open 24 hours to chill and chat.
Reno Housewives	7:45 and H	Welcome to the Biggest Little Boutique on the playa! Come get a makeover with the Housewives.
Rest In Peace	5:15 and H	We are a welcome stop for the weary wanderer. 
Retrofrolic	8:00 and B	We are a radically inclusive adult fetish themed camp.We offer the best play space and BDSM dungeon on the playa! We support and encourage affirmative consent and safe practices.Come during the day, attend a 101 class, other classes or demos. Nights offer a less structured schedule of play and merriment. Come and meet other like-minded kinksters.
Reverbia	3:45 and 2400	Live Music Camp
RhythmWave	5:00 and A	RhythmWave is tremendously grateful to return to Black Rock City in 2019, for our 13th consecutive year at Burning Man!Facilitators from around the world offer multiple daily sessions of Conscious Dance, movement, and meditation on our fully shaded and easily-accessible 2,500 sq.ft. bamboo dance floor. With no experience necessary and no “steps” to learn, Conscious Dance offers a pathl the destination is the discovery of ourselves and a return to our center.ALL are welcome and invited to join us. Come bless the bamboo at RhythmWave!
Ride, I-Ching Ride	6:30 and C	Pedicab & I-Ching guide service
Risa	2:45 and B	Planet Risa in Star Trek was a diverse planet that allowed everyone to come and enjoy themselves to the fullest. So we at Risa embrace the old and the new alike!Being known for our friendly atmosphere, Mutant vehicle rides, Sexy snow cones, and our alternative ways, you will always leave with a smile.
Roasted Breaux and Coffee Heaux	4:45 and A	Afternoon Pour over Coffee Service MWF 1-3PM. Single-Origin coffee, roasted on the Playa. You won't find a fresher cup of coffee on or off the Playa. In the spirit of LNT bring your own cup or face the Wheel of Misfortune for a cheap ass coffee cup.Evening On the Playa: Night Coffee Roasting with light & Fire Effects. Day - TBA. Weather permitting.
Robot Heart	9:45 and K
Rock Bottom	9:30 and F	Themed tiki bar and also home of the Rock Bottom Art Car 
Root Society	10:00  and 2400
Rootpile	6:00 and D	Black Rock Bluegrass - Live bluegrass, BBQ, moonshine, pinto beans
Rubber Armstrong	9:15 and A	Pimp-My-Bike service, treasure hunt gifting, Tequila bar, and DJs
Run Free Camp	7:45 and E	Sober group of burners with various 12 step programs..
Rustic WERQ Ranch and Cuntry Club	6:45 and C
S'mores N Amour	2:45 and C	S’mores at sundown. Kids of all ages are invited and campfire singers/performers are encouraged.
SEAweed	6:15 and G
SILICON VILLAGE	6:30 and E
SNOWFLAKE VILLAGE	7:15  and 2400
STEEP!	7:15 & A	A place of refuge and home within home. We offer herbal tea and chinese tea ceremonies. Our space is generally quiet and peaceful with space for doing art, receiving a healing or intuitive reading or listening to live music. Come rest and recharge with a delicious cup of tea brewed just for you from over 50 different herbs. Drink in the love!
Sacred Cow	5:15 and H	Offering libations, shows, DJs, and interactive art every evening
Sacred Hare	7:45 and J	Sacred Hare is an art car. Come check out our bunny.
Sacrificial Harem	3:15 and H	The genies of Sacrificial Harem welcome you visit their democratic desert empire. Come early in the week to pay homage to their very fair, very just, very intelligent leader in the royal yurt. Come back later for whatever may come after a few days of hot, dusty genies working overtime on the playa.
Sake To Me	4:45 and F	Sake To Me is your neighborhood sake bar!
